row_type,flow_id,step,x,y0,y1,node_x0,node_x1,node_y0,node_y1,label_x,label_y,publisher,genre,game_count,publisher_visible_total,publisher_full_total,publisher_top10_coverage_percent,publisher_visible_share_percent,genre_visible_total
flow,6,23,0.724,4720.8693,4859.8693,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,24,0.752,4870.9991,5009.9991,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,25,0.78,5003.428,5142.428,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,26,0.808,5116.1892,5255.1892,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,27,0.836,5207.316,5346.316,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,28,0.864,5274.8416,5413.8416,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,29,0.892,5316.7993,5455.7993,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,30,0.92,5331.2222,5470.2222,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,7,0,0.08,1045.0,1084.0,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,1,0.108,1061.1094,1100.1094,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,2,0.136,1107.9732,1146.9732,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,3,0.164,1183.3947,1222.3947,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,4,0.192,1285.177,1324.177,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,5,0.22,1411.1235,1450.1235,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,6,0.248,1559.0373,1598.0373,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,7,0.276,1726.7219,1765.7219,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,8,0.304,1911.9803,1950.9803,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,9,0.332,2112.616,2151.616,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,10,0.36,2326.4321,2365.4321,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,11,0.388,2551.2319,2590.2319,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,12,0.416,2784.8187,2823.8187,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,13,0.444,3024.9957,3063.9957,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,14,0.472,3269.5661,3308.5661,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,15,0.5,3516.3333,3555.3333,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,16,0.528,3763.1005,3802.1005,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,17,0.556,4007.671,4046.671,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,18,0.584,4247.848,4286.848,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,19,0.612,4481.4348,4520.4348,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,20,0.64,4706.2346,4745.2346,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,21,0.668,4920.0507,4959.0507,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,22,0.696,5120.6863,5159.6863,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,23,0.724,5305.9448,5344.9448,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,24,0.752,5473.6293,5512.6293,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,25,0.78,5621.5432,5660.5432,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,26,0.808,5747.4897,5786.4897,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,27,0.836,5849.272,5888.272,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,28,0.864,5924.6934,5963.6934,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,29,0.892,5971.5572,6010.5572,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,7,30,0.92,5987.6667,6026.6667,,,,,,,Sega,Simulation,39,1311,1486,88.2,2.97,590
flow,8,0,0.08,1084.0,1148.0,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,1,0.108,1102.0827,1166.0827,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,2,0.136,1154.687,1218.687,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,3,0.164,1239.3471,1303.3471,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,4,0.192,1353.5971,1417.5971,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,5,0.22,1494.9712,1558.9712,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,6,0.248,1661.0036,1725.0036,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,7,0.276,1849.2284,1913.2284,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,8,0.304,2057.1798,2121.1798,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
