platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
4,PS,PlayStation,Fighting,Fighting,57.63,10.55,0.87,546.25,8.27,1130,2707,41.7,62.6786,70.8136,0,10.724,41.285,70.8136,0,28.0037,87.2401
4,PS,PlayStation,Misc,Misc,42.75,7.83,0.65,546.25,8.27,1130,2707,41.7,51.791,58.8362,10.724,19.9097,41.285,70.8136,0,28.0037,64.7148
4,PS,PlayStation,Shooter,Shooter,37.67,6.9,0.57,546.25,8.27,1130,2707,41.7,51.791,58.8362,19.9097,28.0037,41.285,70.8136,0,28.0037,57.0247
4,PS,PlayStation,Role-Playing,,31.44,5.76,0.48,546.25,8.27,1130,2707,41.7,58.8362,64.8982,10.724,18.5752,41.285,70.8136,0,28.0037,47.5937
4,PS,PlayStation,Adventure,,30.68,5.62,0.46,546.25,8.27,1130,2707,41.7,64.8982,70.8136,10.724,18.5752,41.285,70.8136,0,28.0037,46.4433
4,PS,PlayStation,Platform,,26.55,4.86,0.4,546.25,8.27,1130,2707,41.7,58.8362,66.4031,18.5752,23.8866,41.285,70.8136,0,28.0037,40.1913
4,PS,PlayStation,Strategy,,20.58,3.77,0.31,546.25,8.27,1130,2707,41.7,58.8362,66.4031,23.8866,28.0037,41.285,70.8136,0,28.0037,31.1539
4,PS,PlayStation,Simulation,,15.07,2.76,0.23,546.25,8.27,1130,2707,41.7,66.4031,70.8136,18.5752,23.7477,41.285,70.8136,0,28.0037,22.8129
4,PS,PlayStation,Puzzle,,12.4,2.27,0.19,546.25,8.27,1130,2707,41.7,66.4031,70.8136,23.7477,28.0037,41.285,70.8136,0,28.0037,18.7711
5,PS4,PlayStation 4,Shooter,Shooter,144.95,26.85,2.19,539.92,8.17,908,2878,31.5,70.8136,84.5327,0,15.9941,70.8136,100.0,0,28.0037,219.4247
5,PS4,PlayStation 4,Sports,Sports,108.84,20.16,1.65,539.92,8.17,908,2878,31.5,70.8136,84.5327,15.9941,28.0037,70.8136,100.0,0,28.0037,164.7616
5,PS4,PlayStation 4,Action,Action,92.41,17.12,1.4,539.92,8.17,908,2878,31.5,84.5327,100.0,0,9.0442,70.8136,100.0,0,28.0037,139.8899
5,PS4,PlayStation 4,Action-Adventure,Action-Adventure,51.21,9.48,0.78,539.92,8.17,908,2878,31.5,84.5327,92.6135,9.0442,18.6375,70.8136,100.0,0,28.0037,77.5215
5,PS4,PlayStation 4,Role-Playing,Role-Playing,46.81,8.67,0.71,539.92,8.17,908,2878,31.5,92.6135,100.0,9.0442,18.6375,70.8136,100.0,0,28.0037,70.8608
5,PS4,PlayStation 4,Racing,,21.01,3.89,0.32,539.92,8.17,908,2878,31.5,84.5327,90.4352,18.6375,24.0259,70.8136,100.0,0,28.0037,31.8049
