row_type,link_id,publisher,genre,title_count,publisher_selected_total,genre_selected_total,publisher_share_pct,x,y0,y1,x1,x2,node_label,node_count,label_x,label_y
link,Konami → Platform,Konami,Platform,84,700,650,12,0.332,21.41,23.284,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.36,23.428,25.302,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.388,25.5497,27.4237,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.416,27.7543,29.6284,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.444,30.0211,31.8952,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.472,32.3294,34.2035,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.5,34.6584,36.5325,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.528,36.9874,38.8615,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.556,39.2957,41.1698,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.584,41.5625,43.4366,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.612,43.7671,45.6412,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.64,45.8888,47.7629,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.668,47.9069,49.7809,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.696,49.8005,51.6745,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.724,51.549,53.423,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.752,53.1316,55.0057,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.78,54.5276,56.4017,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.808,55.7163,57.5904,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.836,56.677,58.551,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.864,57.3888,59.2629,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.892,57.8311,59.7052,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.92,57.9831,59.8572,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.08,13.2077,13.8994,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.108,13.4075,14.0991,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.136,13.9885,14.6801,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.164,14.9235,15.6151,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.192,16.1853,16.877,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.22,17.7468,18.4384,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.248,19.5806,20.2722,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.276,21.6594,22.3511,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.304,23.9562,24.6478,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.332,26.4436,27.1352,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.36,29.0944,29.786,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.388,31.8814,32.573,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.416,34.7773,35.4689,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.444,37.7549,38.4465,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.472,40.787,41.4786,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.5,43.8463,44.5379,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.528,46.9056,47.5972,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.556,49.9377,50.6293,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.584,52.9153,53.6069,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.612,55.8112,56.5029,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.64,58.5982,59.2898,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.668,61.249,61.9406,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.696,63.7364,64.428,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.724,66.0332,66.7248,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.752,68.1121,68.8037,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.78,69.9458,70.6375,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.808,71.5073,72.1989,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.836,72.7691,73.4607,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.864,73.7042,74.3958,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.892,74.2852,74.9768,,,,,,
link,Konami → Puzzle,Konami,Puzzle,31,700,535,4.4286,0.92,74.4849,75.1765,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.08,13.8994,15.6173,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.108,14.1422,15.8601,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.136,14.8488,16.5667,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.164,15.986,17.7039,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.192,17.5206,19.2384,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.22,19.4195,21.1374,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.248,21.6496,23.3675,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.276,24.1778,25.8957,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.304,26.971,28.6889,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.332,29.996,31.7139,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.36,33.2198,34.9377,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.388,36.6091,38.327,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.416,40.1309,41.8488,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.444,43.7521,45.47,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.472,47.4396,49.1575,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.5,51.1601,52.878,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.528,54.8807,56.5986,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.556,58.5681,60.286,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.584,62.1893,63.9072,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.612,65.7112,67.4291,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.64,69.1005,70.8184,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.668,72.3243,74.0422,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.696,75.3493,77.0672,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.724,78.1425,79.8604,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.752,80.6707,82.3886,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.78,82.9008,84.6187,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.808,84.7997,86.5176,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.836,86.3343,88.0522,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.864,87.4715,89.1894,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.892,88.178,89.8959,,,,,,
link,Konami → Role-Playing,Konami,Role-Playing,77,700,519,11,0.92,88.4209,90.1388,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.08,17.6173,19.1567,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.108,17.5804,19.1198,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.136,17.4732,19.0127,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.164,17.3008,18.8402,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.192,17.068,18.6074,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.22,16.78,18.3194,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.248,16.4417,17.9811,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.276,16.0582,17.5976,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.304,15.6345,17.174,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.332,15.1757,16.7151,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.36,14.6867,16.2262,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.388,14.1726,15.7121,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.416,13.6384,15.1779,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.444,13.0892,14.6286,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.472,12.5299,14.0693,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.5,11.9655,13.505,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.528,11.4012,12.9406,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.556,10.8419,12.3813,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.584,10.2926,11.8321,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.612,9.7584,11.2979,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.64,9.2443,10.7838,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.668,8.7554,10.2948,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.696,8.2965,9.836,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.724,7.8729,9.4123,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.752,7.4894,9.0288,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.78,7.1511,8.6905,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.808,6.8631,8.4025,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.836,6.6303,8.1697,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.864,6.4578,7.9973,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.892,6.3507,7.8901,,,,,,
link,Ubisoft → Sports,Ubisoft,Sports,69,381,852,18.1102,0.92,6.3138,7.8532,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.08,19.1567,21.6331,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.108,19.1727,21.6492,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.136,19.2195,21.6959,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.164,19.2947,21.7712,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.192,19.3963,21.8727,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.22,19.5219,21.9983,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.248,19.6694,22.1459,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.276,19.8367,22.3132,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.304,20.0215,22.498,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.332,20.2217,22.6981,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.36,20.435,22.9114,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.388,20.6592,23.1357,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.416,20.8922,23.3687,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.444,21.1318,23.6083,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.472,21.3758,23.8522,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.5,21.622,24.0984,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.528,21.8681,24.3446,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.556,22.1121,24.5886,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.584,22.3517,24.8281,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.612,22.5847,25.0612,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.64,22.809,25.2854,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.668,23.0223,25.4987,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.696,23.2224,25.6988,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.724,23.4072,25.8837,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.752,23.5745,26.0509,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.78,23.722,26.1985,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.808,23.8477,26.3241,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.836,23.9492,26.4257,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.864,24.0244,26.5009,,,,,,
link,Ubisoft → Action,Ubisoft,Action,111,381,827,29.1339,0.892,24.0712,26.5476,,,,,,
