record_type,link_id,genre,rating,count,within_genre_pct,within_rating_pct,x,y,point_order,thickness_px,node_side,node_label,node_display,node_total,x0,x1,y0,y1,label_x,label_y
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.564,1949.668,3,11.118913857677903,,,,,,,,,,
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.692,2226.436,4,11.118913857677903,,,,,,,,,,
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.8199999999999998,2342.5,5,11.118913857677903,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.18,1279,0,1.1704119850187267,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.30799999999999994,1511.0240000000001,1,1.1704119850187267,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.43599999999999994,2064.3120000000004,2,1.1704119850187267,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.564,2724.688,3,1.1704119850187267,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.692,3277.9760000000006,4,1.1704119850187267,,,,,,,,,,
link_point,Racing to M,Racing,M,10,1.9607843137254901,1.342281879194631,0.8199999999999998,3510,5,1.1704119850187267,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.18,1457,0,33.00561797752809,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.30799999999999994,1420.496,1,33.00561797752809,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.43599999999999994,1333.4479999999999,2,33.00561797752809,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.564,1229.5520000000001,3,33.00561797752809,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.692,1142.504,4,33.00561797752809,,,,,,,,,,
link_point,Simulation to E,Simulation,E,282,59.7457627118644,17.450495049504948,0.8199999999999998,1106,5,33.00561797752809,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.18,1620,0,5.149812734082397,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.30799999999999994,1638.928,1,5.149812734082397,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.43599999999999994,1684.064,2,5.149812734082397,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.564,1737.936,3,5.149812734082397,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.692,1783.0720000000001,4,5.149812734082397,,,,,,,,,,
link_point,Simulation to E10+,Simulation,E10+,44,9.322033898305085,9.18580375782881,0.8199999999999998,1802,5,5.149812734082397,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.18,1713.5,0,16.73689138576779,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.30799999999999994,1791.292,1,16.73689138576779,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.43599999999999994,1976.796,2,16.73689138576779,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.564,2198.2039999999997,3,16.73689138576779,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.692,2383.708,4,16.73689138576779,,,,,,,,,,
link_point,Simulation to T,Simulation,T,143,30.29661016949153,11.242138364779874,0.8199999999999998,2461.5,5,16.73689138576779,,,,,,,,,,
link_point,Simulation to M,Simulation,M,3,0.6355932203389831,0.4026845637583893,0.18,1786.5,0,0.351123595505618,,,,,,,,,,
link_point,Simulation to M,Simulation,M,3,0.6355932203389831,0.4026845637583893,0.30799999999999994,1966.42,1,0.351123595505618,,,,,,,,,,
link_point,Simulation to M,Simulation,M,3,0.6355932203389831,0.4026845637583893,0.43599999999999994,2395.46,2,0.351123595505618,,,,,,,,,,
link_point,Simulation to M,Simulation,M,3,0.6355932203389831,0.4026845637583893,0.564,2907.54,3,0.351123595505618,,,,,,,,,,
