Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Destiny,XOne,2014.0,Shooter,5.5,1735.0
Far Cry 3,PS3,2012.0,Shooter,8.5,1041.0
James Bond 007: Nightfire,PS2,2002.0,Shooter,8.5,66.0
Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,7.2,82.0
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,7.8,228.0
Max Payne,PS2,2001.0,Shooter,8.5,86.0
Assassin's Creed IV: Black Flag,X360,2013.0,Action,7.9,701.0
The Lord of the Rings: The Return of the King,PS2,2003.0,Action,8.7,105.0
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,7.5,563.0
True Crime: Streets of LA,PS2,2003.0,Action,8.0,94.0
Professor Layton and the Unwound Future,DS,2008.0,Puzzle,9.2,111.0
FIFA 16,XOne,2015.0,Sports,4.4,459.0
Madden NFL 16,PS4,2015.0,Sports,5.9,180.0
Gran Turismo 6,PS3,2013.0,Racing,7.7,758.0
Halo: The Master Chief Collection,XOne,2014.0,Shooter,7.2,1267.0
Super Mario Maker,WiiU,2015.0,Platform,8.7,691.0
God of War: Chains of Olympus,PSP,2008.0,Action,8.6,565.0
Enter the Matrix,PS2,2003.0,Action,8.1,137.0
Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,8.0,463.0
L.A. Noire,PS3,2011.0,Adventure,7.7,1010.0
Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,9.1,95.0
Animal Crossing,GC,2001.0,Simulation,8.9,137.0
FIFA Soccer 08,PS2,2007.0,Sports,6.5,36.0
Club Penguin: Elite Penguin Force,DS,2008.0,Adventure,8.0,37.0
Spider-Man,PS,2000.0,Action,9.0,107.0
Sonic Rush,DS,2005.0,Platform,8.5,101.0
Fallout: New Vegas,PS3,2010.0,Role-Playing,7.8,492.0
The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,8.0,604.0
The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,8.9,1057.0
Resident Evil 6,PS3,2012.0,Shooter,5.4,1304.0
Mass Effect 2,X360,2010.0,Role-Playing,8.9,3143.0
Dragon Ball Z: Budokai,PS2,2002.0,Fighting,7.9,71.0
Madden NFL 2002,PS2,2001.0,Sports,7.9,46.0
The Sims: Vacation,PC,2002.0,Simulation,7.8,22.0
LEGO Batman: The Videogame,Wii,,Action,7.9,22.0
Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,6.9,106.0
The Sims 4,PC,2014.0,Simulation,3.9,2057.0
Borderlands 2,X360,2012.0,Shooter,8.2,892.0
LEGO Batman: The Videogame,DS,2008.0,Action,8.0,16.0
Kung Fu Panda,X360,2008.0,Action,7.4,32.0
Mass Effect 3,X360,2012.0,Role-Playing,5.8,3725.0
Heavy Rain,PS3,2010.0,Adventure,7.7,2759.0
Saints Row 2,X360,2008.0,Action,8.1,307.0
Tom Clancy's Splinter Cell,XB,2002.0,Action,8.5,121.0
FIFA 14,PS4,2013.0,Sports,6.3,616.0
Killzone 2,PS3,2009.0,Shooter,8.1,1505.0
Far Cry 3,X360,2012.0,Shooter,8.6,1247.0
Epic Mickey,Wii,2010.0,Platform,7.0,131.0
NBA 2K13,X360,2012.0,Sports,7.2,131.0
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007.0,Fighting,9.2,173.0
World Soccer Winning Eleven 6 International,PS2,2002.0,Sports,9.1,65.0
Devil May Cry,PS2,2001.0,Action,8.5,466.0
Star Wars: The Old Republic,PC,2011.0,Role-Playing,5.9,2748.0
Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,8.1,1886.0
Sonic Heroes,PS2,2003.0,Platform,7.8,94.0
Hitman 2: Silent Assassin,PS2,2002.0,Action,7.8,78.0
Titanfall,XOne,2014.0,Shooter,6.4,2658.0
Battlefield: Bad Company 2,PS3,2010.0,Shooter,8.5,572.0
SOCOM II: U.S. Navy SEALs,PS2,2003.0,Shooter,9.0,93.0
Pac-Man Collection,GBA,2001.0,Puzzle,7.8,4.0
Street Fighter IV,X360,2009.0,Fighting,7.3,292.0
inFAMOUS,PS3,2009.0,Action,8.3,1172.0
Kirby Super Star Ultra,DS,2008.0,Platform,8.8,76.0
Call of Duty: Ghosts,XOne,2013.0,Shooter,4.3,700.0
FIFA 15,X360,2014.0,Sports,4.2,85.0
Mass Effect,X360,2007.0,Role-Playing,8.7,1692.0
World Soccer Winning Eleven 7 International,PS2,2003.0,Sports,9.0,45.0
Sega Superstars Tennis,X360,2008.0,Sports,6.8,18.0
Hot Shots Golf 3,PS2,2001.0,Sports,8.9,16.0
Cooking Mama: Cook Off,Wii,2007.0,Simulation,5.3,23.0
Call of Duty: Finest Hour,PS2,2004.0,Shooter,7.7,69.0
WarioWare: Smooth Moves,Wii,2006.0,Puzzle,7.4,179.0
Imagine: Babyz,DS,2007.0,Simulation,7.7,15.0
Madden NFL 13,X360,2012.0,Sports,5.8,179.0
The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,8.7,111.0
Assassin's Creed IV: Black Flag,PS4,2013.0,Action,7.8,1530.0
