family,platform,platform_full,distinct_titles,platform_share_all_percent,family_platform_title_total,family_share_all_percent,platform_share_family_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
Other ecosystems,Ouya,Ouya,25,0.04,2362,3.798,1.058,97.27074,98.43704,92.93884,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,AST,Atari ST,17,0.027,2362,3.798,0.72,98.43704,99.65,92.93884,94.40197,49.10116,100.0,88.0645,95.52656
Other ecosystems,CDi,CD-i,6,0.01,2362,3.798,0.254,98.43704,99.24568,94.40197,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,TG16,TurboGrafx-16,3,0.005,2362,3.798,0.127,99.24568,99.65,94.40197,95.17656,49.10116,100.0,88.0645,95.52656
Mobile / Web,And,Android,1048,1.685,1416,2.277,74.011,49.45116,86.60397,96.72656,99.65,49.10116,100.0,95.52656,100.0
Mobile / Web,iOS,iOS,155,0.249,1416,2.277,10.946,86.60397,92.0989,96.72656,99.65,49.10116,100.0,95.52656,100.0
Mobile / Web,WinP,Windows Phone,70,0.113,1416,2.277,4.944,92.0989,94.58048,96.72656,99.65,49.10116,100.0,95.52656,100.0
Mobile / Web,BRW,Browser,63,0.101,1416,2.277,4.449,94.58048,96.81391,96.72656,99.65,49.10116,100.0,95.52656,100.0
Mobile / Web,NGage,N-Gage,60,0.096,1416,2.277,4.237,96.81391,99.65,96.72656,98.91914,49.10116,100.0,95.52656,100.0
Mobile / Web,Mob,Mobile,20,0.032,1416,2.277,1.412,96.81391,99.65,98.91914,99.65,49.10116,100.0,95.52656,100.0
